时间,姓名,内容,阅读,评论,,,,,
2021/9/21 15:04,两融追踪,极米科技连续3周融资净偿还合计6087.51万元,155,0,,,,,
2021/9/20 14:14,股友6esee2,无论在哪个平台，极米销量都是遥遥领先。而且目前还供,553,5,,,,,
2021/9/19 0:20,吉上吉,这样惨烈下跌也没谁了吧,175,0,,,,,
2021/9/18 14:14,极米科技资讯,极米科技：融资净偿还219.42万元，融资余额3.12亿元（,375,1,,,,,
2021/9/17 20:20,巴菲特BMW,极米三季报估计老惨了,237,2,,,,,
2021/9/17 19:49,CYGGL168,研报一研就给研成这样了，研报都是东家请的吧,130,1,,,,,
2021/9/17 15:03,基民1x9DFB,狗庄操纵股价，做了个探底诱人接盘！,101,0,,,,,
2021/9/17 14:26,股友TYaVi3,这个股死了，估计会跌到三百,94,0,,,,,
2021/9/17 11:39,理解情绪,漫漫阴跌路开始了,165,1,,,,,
2021/9/17 10:02,韭菜速生粉,应该是底了，大消费都在反弹，半仓买入,282,4,,,,,
2021/9/16 21:29,跟庄家座,22年一月会破百吗？,222,2,,,,,
2021/9/16 11:10,CYGGL168,真是惨啊,103,0,,,,,
2021/9/16 10:58,股友9yHvhr,什么时候是个头呀,120,2,,,,,
2021/9/16 10:32,股友KYEmf7,国泰君安的研报就是个搞笑的把，研究员去过企业没？,158,1,,,,,
2021/9/16 10:24,韭菜速生粉,感觉比石头弱太多了,118,1,,,,,
2021/9/16 10:17,民之,本人早就说过了极米已经死了，没有前景,100,0,,,,,
2021/9/16 2:01,股友TYaVi3,明天大跌快跑,125,0,,,,,
2021/9/15 19:25,等待突破87,极米的投影仪到底怎么样？买了15手，总是忐忑,167,1,,,,,
2021/9/15 17:28,小船东风,华为出了近距离低辐射智慧屏，这个凉凉了,237,1,,,,,
2021/9/15 15:31,股友8221D1Q075,的垃圾票！,111,1,,,,,
2021/9/15 15:10,韭菜速生粉,510清仓,170,1,,,,,
2021/9/15 14:03,asda28685,450到470之间可以考虑,77,0,,,,,
2021/9/15 13:17,我是小韭菜z,极米投影千万别买，刚买的h3s用了两周不开机了，真的,290,3,,,,,
2021/9/15 10:11,股友TYaVi3,赶紧买要大涨了,88,0,,,,,
2021/9/14 22:20,股友91w1Z65710,说句不好听的，这玩意的市场大不了,223,1,,,,,
2021/9/14 16:02,广州星海,扛不住了。亏18万4。走了。去年挣一年的钱都亏他上面,571,7,,,,,
2021/9/14 15:05,需要运气,什么样的垃圾股，底部盘整那么多天，还是没人买，全是,214,4,,,,,
2021/9/14 8:05,铜牛518,今天拉尾盘干嘛？不想让人上车了?,240,2,,,,,
2021/9/13 19:05,财聚之鸿运到,此股直接跌破30元。见底！！！等待等待等待！重要的事,190,1,,,,,
2021/9/13 14:05,割不可能,我请问一下下降通道是这么画的吗？,460,7,,,,,
2021/9/12 23:53,喜欢火炉的雪人,600走啦，祝留下的发财[拜神],810,18,,,,,
2021/9/12 15:04,两融追踪,极米科技连续2周融资净偿还合计1551.44万元,292,0,,,,,
2021/9/10 18:18,王冬雨,这玩意三百应该不会套,304,0,,,,,
2021/9/10 14:23,三月小兔,庄家真厉害,119,0,,,,,
2021/9/10 10:51,割不可能,这分时图，就是要卖，科创50板块涨都不给，一上午就大,127,0,,,,,
2021/9/10 10:06,股友yh,等到7个点,106,0,,,,,
2021/9/10 6:19,需要运气,没有8000手以上的大涨，改变不了极米弱势的情绪，但是,193,1,,,,,
2021/9/9 19:51,maxiaohong888,年底250我们再聊！,197,3,,,,,
2021/9/9 15:50,股友AAEJK0,再次买入极米，极米，极米，阿加，阿加,211,1,,,,,
2021/9/9 12:10,铜牛518,死狗一条,134,0,,,,,
2021/9/16 8:06,极米科技资讯,极米科技：融资净买入523.89万元，融资余额3.52亿元（,154,0,,,,,
2021/9/15 10:41,极米科技资讯,【调研快报】极米科技接待大成基金等多家机构调研,1181,4,,,,,
2021/9/14 8:06,极米科技资讯,极米科技：连续4日融资净偿还累计1506.66万元（09-13,143,0,,,,,
2021/9/13 19:02,韭菜速生粉,准备好子弹450加仓,200,4,,,,,
2021/9/13 15:51,极米科技资讯,688696:极米科技关于参加2021年四川辖区上市公司投资,345,0,,,,,
2021/9/12 23:07,韭菜速生粉,重仓杀入,380,4,,,,,
2021/9/11 16:10,极米科技资讯,688696:极米科技关于2021年股票期权及限制性股票激励,451,4,,,,,
