,提问时间,问题,回答,回答时间,来源
0,09月27日 09:03,:极米科技(688696)请问董秘，公司受本次全国性限电影响多大？如何应对？,尊敬的投资者，您好，感谢您的关注，目前公司经营生产活动一切正常，暂未收到限电通知。,09月30日 18:10,网站
1,09月16日 14:17,:极米科技(688696)你们基本面出了啥问题么？怎么股价一直跌？还是因为芯片供应出了大问题？,尊敬的投资者，您好！今年以来，受到疫情、供需等多重因素影响，公司产品使用的DMD芯片等电子料供应持续紧张，交付存在一定不确定性，我们将和供应商积极沟通，全力应对目前的供应紧张局面。公司目前正常经营，感谢您的关注！,09月22日 15:53,网站
2,09月13日 14:45,:极米科技(688696)请问贵公司对激光微投是否有产品布局？如没有，是出于何种考量？,尊敬的投资者，您好！LED微投与激光微投主要差异在于光源是选择LED还是激光。激光光源的一个优势是亮度较高，但亮度只是投影使用体验的一方面，一款好的产品还需要在色彩表现、外观设计、易用性等多个方面都做到比较均衡，没有明显的短板，才能让消费者有好的体验，LED光源的长焦产品是目前各方面来说比较均衡的选择。公司现阶段对激光光源的微投处于技术关注阶段，谢谢！,09月15日 17:25,网站
3,08月30日 14:23,:极米科技(688696)贵公司投影仪能通过vr眼镜，观看3d效果电影，或者玩3d游戏么？,尊敬的投资者，您好！感谢您对公司的关注，公司产品支持3D影片的播放，选配极米3D眼镜观看即可实现3D效果。,08月31日 15:49,网站
4,08月04日 08:49,:极米科技(688696)公司最新股东人数,尊敬的投资者，您好！感谢您对公司的关注，股东人数请查阅公司披露的定期报告，谢谢！,08月10日 17:33,网站
5,07月19日 10:57,:极米科技(688696)1、亚马逊封号，公司是否受到影响。2有传言公司在美国被一家小公司起诉专利侵权，是否有重大影响？,尊敬的投资者，您好！感谢您对公司的关注，公司亚马逊店铺运营正常；同时，截止今日，公司未收到相关送达文书，未来如有变动情况，公司将根据相关法律法规要求及时履行信息披露义务。,07月22日 08:11,网站
6,07月06日 09:01,:极米科技(688696)员工现在工作时长是如何的？看招聘上写的双休，实际上每个月第一个周六是需要全员上班的，并且公司加班情况十分严重，基本都是晚上9-12点下班，只有10-20的餐补，请问这段时间员工的回家安全以及身体、心理健康是否有保证？公司上市的招股书显示研发费用不足5%，请问法定的社保是否足额缴纳？加班薪资是否如实发放？,尊敬的投资者，您好，感谢您的关注。公司坚持依规合法经营，公司根据《劳动法》、《劳动合同法》等法律法规的要求，结合公司实际情况，与员工按照《劳动法》《劳动合同法》的有关规定签订劳动合同，并制定了各项公司制度保障员工应享有的合法权利。同时，公司一直密切关注员工的身心健康，重视人力资源的开发和培养，持续完善员工福利，包括但不限于提供餐饮补贴，为员工提供新入职培训、个人持续发展培训等技能培训等，促进员工和公司的共同发展。,07月09日 08:58,网站
7,06月21日 09:47,:极米科技(688696)请问贵司微投产品有无采用鸿蒙操作系统的计划？如有，具体是什么？另外，和华为智能终端合作具体表现形式是什么？,尊敬的投资者，您好，感谢您的关注。公司与华为是战略合作伙伴关系，公司产品已加入华为HiLink智能家居生态联盟，公司目前的产品暂未使用鸿蒙系统。,06月21日 15:50,网站
8,06月18日 14:27,:极米科技(688696)线下补课有被限制的趋势，后期应该都会转到线上补课，线上补课的话手机、IPAD、电脑屏幕都太小，对视力危害非常大，公司的产品是最适合孩子观看的，是否有加大在线教育的资源投入。,尊敬的投资者，您好，感谢您的关注和建议。,06月21日 15:49,网站
9,06月18日 09:52,:极米科技(688696)现在华为芯片被美帝禁止，而公司与华为的关系好像不错，能不能把他们的微投芯片团队挖过来，实现双赢,尊敬的投资者，您好，感谢您的关注和建议。,06月21日 15:49,网站
10,06月11日 10:17,:极米科技(688696)公司产品出海进展如何？现在海外疫情严重，急需公司产品，以免老外整日到处瞎逛，扩大疫情。希望公司早日出海成功，为抗疫做点贡献啊。,尊敬的投资者，您好，产品出海是公司的战略之一，目前智能微投产品在海外市场整体处于比较早期的阶段，需要时间进行产品推广及用户群体培育，年初公司海外团队也转移至深圳，在深圳招揽专业的跨境电商运营人才，负责海外市场的拓展。感谢您的关注。,06月17日 18:06,网站
11,06月15日 10:53,:极米科技(688696)公司微投产品国内历年累计出货量最新有多少？客户使用频率如何？,尊敬的投资者，您好，感谢您的关注。公司2020年销售各类智能投影合计89.59万台，同比增长幅度为30%，其中智能微投销量80.63万台(同比增长23%)，激光电视及创新产品合计销售8.96万台(同比增长152%)，历史期间销量数据请参见公司招股说明书相关章节披露信息。截止2021年3月31日，公司产品月活用户数达159万。,06月17日 18:06,网站
12,06月15日 10:54,:极米科技(688696)请问贵司自研光机的核心零部件是自产还是外购，若外购，供应稳定性如何？公司在这方面有何应对措施？,尊敬的投资者，您好，感谢您的关注。自研光机的核心零部件包括光学镜片、DMD芯片等。采用DLP技术的投影产品均需要使用德州仪器提供的DMD芯片，目前全球芯片供应紧张，公司同德州仪器一直保持着畅通的沟通，争取保证公司业务不受影响。,06月17日 17:53,网站
13,06月15日 10:54,:极米科技(688696)公司在酒店电视替代方面有无计划？内容上是否有更多动作？作为股东且客户，内容匮乏和付费观看十分影响使用频率，不知公司有无关注该问题？,尊敬的投资者，您好，感谢您的关注。公司业务主要聚焦在TO C，酒店渠道业务公司和青柠微影合作，青柠微影购买公司的机器，加载其自行研发的系统后销售。产品内容方面，公司在国内销售的产品和国内主流内容提供方均有合作。,06月17日 17:53,网站
14,06月09日 09:27,:极米科技(688696)贵公司产品的系统是否已经使用鸿蒙系统，如果没有，是否准备使用鸿蒙系统？,尊敬的投资者，您好，感谢您的关注。公司与华为是战略合作伙伴关系，公司产品已加入华为 HiLink 智能家居生态联盟，公司目前的产品暂未使用鸿蒙系统。,06月10日 16:15,网站
15,06月02日 10:20,:极米科技(688696)尊敬的董秘，您好！今年618，贵公司产品在电商平台的销量是不是超过去年同期？我关注了贵司淘宝店的直播，6月2日凌晨一点在线还有40多万人等着抽红包（购机才有资格抽）,尊敬的投资者，您好，关于公司今年第二季度财务数据请关注公司后续披露的定期报告，感谢您的关注。,06月04日 17:27,网站
16,04月29日 13:10,:极米科技(688696)尊敬的公司领导您好！作为股东非常欣慰公司能取得如此靓丽的一季报。有三个问题请公司帮忙解答。 1、公司如何看待当贝推出的X3激光投影？ 2、当贝X3因为3200流明的超高亮度，其价格与贵司畅销款H3S属于同一价格挡位，请问如何应对这样的竞争？ 3、led光源的流明是否可以进一步提高以应对激光投影？公司是否准备做激光投影的方案？ 谢谢。,尊敬的投资者，您好，激光长焦产品的优点是亮度高，问题是色彩会差一点。激光长焦基本上是70%左右的NTSC色域，LED长焦可以达到88%的NTSC色域。如果激光长焦要做到和LED产品的色域水平，必须要牺牲亮度，或者是提高成本。此外，激光长焦产品的衰减曲线比LED产品陡峭，刚开始使用时激光长焦产品可能更亮，但一段时间之后会变暗，甚至比LED产品更暗。在长焦产品上LED是在亮度、色彩和成本三者中比较均衡的选择。我们目前在研究如何在不牺牲色彩的条件下制造激光长焦产品。感谢您的关注。,04月30日 10:25,网站
17,04月26日 09:30,:极米科技(688696)增强现实和虚拟现实行业高速发展，请问贵公司是否有涉及AR/VR？,尊敬的投资者，您好，公司对光影显示技术的发展始终保持关注，目前暂未涉及AR/VR，感谢您的关注。,04月29日 10:24,网站
